Year,Company,Market_Cap
2023,CMS,15332672565.470947
2020,KO,188416444026.03516
2021,KO,206577992955.52734
2022,KO,227229146859.66797
2023,KO,234028457505.8203
2020,CTSH,32491277860.06421
2021,CTSH,35171561382.16333
2022,CTSH,27600939422.00354
2023,CTSH,33132297840.974854
2020,CL,57362158854.0625
2021,CL,57447980664.96484
2022,CL,54659884558.02344
2023,CL,56758800416.36328
2020,CMCSA,160477615478.83594
2021,CMCSA,197637846210.90234
2022,CMCSA,105916402770.55078
2023,CMCSA,165206129734.7871
2020,CMA,4199993601.6082764
2021,CMA,9210503813.781738
2022,CMA,8412442729.072571
2023,CMA,5218746401.138306
2020,CAG,14605270163.81836
2021,CAG,14308128837.17212
2022,CAG,14301390604.203247
2023,CAG,12477271194.972961
2020,COP,32781279881.78955
2021,COP,70179860307.48438
2022,COP,111160827405.9336
2023,COP,135589755274.59961
2020,ED,23270270826.60791
2021,ED,22600384779.990234
2022,ED,27671320135.22461
2023,ED,28579940185.87207
2020,STZ,32496043697.753906
2021,STZ,36640826692.38281
2022,STZ,40479564079.10156
2023,STZ,44919495424.80469
2020,GLW,24626662210.933594
2021,GLW,28393755389.17383
2022,GLW,23235645405.9375
2023,GLW,25234284209.36133
2020,COST,145713906232.8047
2021,COST,190774282984.8047
2022,COST,201808861850.8828
2023,COST,243237722994.28125
2020,COTY,2343181519.782074
2021,COTY,6821261752.989807
2022,COTY,5484780498.415466
2023,COTY,9520259793.979614
2020,CCI,60807797827.47217
2021,CCI,65274721757.39111
2022,CCI,56297122781.84912
2023,CCI,37783255972.81665
2020,CSX,47703387523.67139
2021,CSX,55425536345.759766
2022,CSX,50239031229.49219
2023,CSX,58801768606.05029
2020,CMI,26120247581.176758
2021,CMI,28419733011.84082
2022,CMI,26454115965.57617
2023,CMI,30513184290.283203
2020,CVS,65322584513.975586
2021,CVS,97584495560.01367
2022,CVS,112120272858.78516
2023,CVS,84519583235.02832
2020,DHI,23714771424.652344
2021,DHI,26578943836.419434
2022,DHI,21555185595.224854
2023,DHI,34733122685.760254
2020,DHR,135768901473.98438
2021,DHR,192578354391.0586
2022,DHR,163955099434.72852
2023,DHR,157992610533.97852
2020,DRI,10476562194.824219
2021,DRI,16062507820.129395
2022,DRI,13852193260.192871
2023,DRI,16238051414.489746
2020,DVA,7186035128.02124
2021,DVA,9754214179.229736
2022,DVA,6944402718.3532715
2023,DVA,7931066897.583008
2020,DE,57639962768.55469
2021,DE,88094499169.92188
2022,DE,88890392285.15625
2023,DE,101734905322.26562
2020,DAL,19488757899.101562
